Jugador,Equipo,Posicion,Puntos,Valor,Valor_Anterior,Estado,Fecha
Matia Barzic,Elche,Desc,0,567430,572059,Disponible,2026-09-07
Matías Dituro,Elche,Desc,1,9163020,9149992,Disponible,2026-09-07
Matteo Prati,Racing,Desc,8,3753499,3858827,Disponible,2026-09-07
Mauro Echegoyen,Osasuna,Desc,0,494451,496039,Disponible,2026-09-07
Miguel Cubo,Atlético,Desc,0,496905,498596,Disponible,2026-09-07
Miguel Loureiro,Deportivo,Desc,12,2321330,2373959,Disponible,2026-09-07
Miguel Román,Celta,Desc,34,8766735,8366026,Disponible,2026-09-07
Miguel Sierra,Sevilla,Desc,38,3153541,2922220,Disponible,2026-09-07
Mikel Jauregizar,Athletic,Desc,16,17913339,18416198,Disponible,2026-09-07
Mikel Oyarzabal,Real Sociedad,Desc,37,60634857,60788266,Disponible,2026-09-07
Mikel Rodriguez,Alavés,Desc,39,2721330,2791977,Lesionado,2026-09-07
Moi Gómez,Osasuna,Desc,37,3378108,3170215,Disponible,2026-09-07
Morten Hjulmand,Atlético,Desc,41,25613735,26114291,Disponible,2026-09-07
Mouctar Diakhaby,Valencia,Desc,12,4222295,4321537,Disponible,2026-09-07
Nacho Pérez,Levante,Desc,48,1559235,1520908,Disponible,2026-09-07
Nahuel Tenaglia,Alavés,Desc,61,31878165,31107903,Disponible,2026-09-07
Natan,Betis,Desc,28,32255635,32589138,Disponible,2026-09-07
Nathan-Dylan Saliba,Villarreal,Desc,22,6480373,6499725,Disponible,2026-09-07
Nelson Deossa,Betis,Desc,27,2539176,2477544,Disponible,2026-09-07
Nemanja Gudelj,Getafe,Desc,1,6586762,6662024,Disponible,2026-09-07
Nico Guillén,Sevilla,Desc,14,2724042,2807142,Disponible,2026-09-07
Nicolas Pépé,Villarreal,Desc,60,65278943,65401966,Disponible,2026-09-07
Nicolás Valentini,Alavés,Desc,-3,738533,750291,Disponible,2026-09-07
Nordin Al Lal,Elche,Desc,0,445049,444579,Disponible,2026-09-07
Odysseas Vlachodimos,Sevilla,Desc,31,27393741,27291098,Disponible,2026-09-07
Oihan Sancet,Athletic,Desc,49,36129169,35096771,Disponible,2026-09-07
Omar El Hilali,Espanyol,Desc,32,12783629,12793659,Disponible,2026-09-07
Orel Mangala,Getafe,Desc,20,12563768,12648504,Disponible,2026-09-07
Oriol Rey,Levante,Desc,32,1408253,1371038,Disponible,2026-09-07
Orri Steinn Óskarsson,Real Sociedad,Desc,22,7685318,7573505,Disponible,2026-09-07
Óscar López,Getafe,Desc,0,700000,700000,Disponible,2026-09-07
Óscar Valentín,Rayo,Desc,29,3944117,4016599,Disponible,2026-09-07
Pablo Barrios,Atlético,Desc,49,54388557,53860670,Disponible,2026-09-07
Pablo Durán,Celta,Desc,8,708339,718839,Disponible,2026-09-07
Pablo Fornals,Betis,Desc,35,52855010,53535433,Disponible,2026-09-07
Pablo García,Racing,Desc,35,3748061,3333295,Disponible,2026-09-07
Pablo García,Deportivo,Desc,35,463623,468964,Disponible,2026-09-07
Pablo Gavi,Barcelona,Desc,2,19305405,19753931,Disponible,2026-09-07
Pablo Ibáñez,Alavés,Desc,45,7121985,6856709,Disponible,2026-09-07
Pablo Maffeo,Valencia,Desc,11,7870695,8064184,Disponible,2026-09-07
Pablo Martínez,Málaga,Desc,11,5278752,5430117,Disponible,2026-09-07
